#################ruch ziemi i ksierzyca##########################
#metoda prendkosciowa verleta: 
#t 	 krx 			 kry 		 kvx 		 kvy		 kfx 		 kfy 		Zrx 		 Zry 		 Zvx 		 Zvy		 Zfx		 Zfy 		 EC 		 odleglosc
114000	 3.900446e+08 	 1.089318e+08 	 -2.730815e+02 	 9.305705e+02 	 -1.721539e+20 	 -4.809525e+19 	 1.925611e+05 	 1.747298e+04 	 3.359762e+00 	 4.605005e-01 	 1.721539e+20 	 4.809525e+19 	 -3.776479e+28 	 4.047802e+08  
120000	 3.883640e+08 	 1.145034e+08 	 -2.871138e+02 	 9.265412e+02 	 -1.715277e+20 	 -5.059121e+19 	 2.132385e+05 	 2.038094e+04 	 3.532403e+00 	 5.100735e-01 	 1.715277e+20 	 5.059121e+19 	 -3.776480e+28 	 4.046818e+08  
126000	 3.865993e+08 	 1.200503e+08 	 -3.010936e+02 	 9.223083e+02 	 -1.708690e+20 	 -5.308162e+19 	 2.349499e+05 	 2.359387e+04 	 3.704399e+00 	 5.621513e-01 	 1.708690e+20 	 5.308162e+19 	 -3.776480e+28 	 4.045785e+08  
132000	 3.847508e+08 	 1.255711e+08 	 -3.150183e+02 	 9.178723e+02 	 -1.701780e+20 	 -5.556620e+19 	 2.576913e+05 	 2.712676e+04 	 3.875716e+00 	 6.167281e-01 	 1.701780e+20 	 5.556620e+19 	 -3.776480e+28 	 4.044704e+08  
138000	 3.828190e+08 	 1.310648e+08 	 -3.288852e+02 	 9.132336e+02 	 -1.694544e+20 	 -5.804464e+19 	 2.814585e+05 	 3.099460e+04 	 4.046323e+00 	 6.737981e-01 	 1.694544e+20 	 5.804464e+19 	 -3.776480e+28 	 4.043573e+08  
144000	 3.808042e+08 	 1.365300e+08 	 -3.426918e+02 	 9.083928e+02 	 -1.686985e+20 	 -6.051663e+19 	 3.062472e+05 	 3.521234e+04 	 4.216187e+00 	 7.333547e-01 	 1.686985e+20 	 6.051663e+19 	 -3.776480e+28 	 4.042394e+08  
150000	 3.787068e+08 	 1.419655e+08 	 -3.564353e+02 	 9.033505e+02 	 -1.679100e+20 	 -6.298186e+19 	 3.320528e+05 	 3.979486e+04 	 4.385275e+00 	 7.953915e-01 	 1.679100e+20 	 6.298186e+19 	 -3.776480e+28 	 4.041167e+08  
156000	 3.765270e+08 	 1.473702e+08 	 -3.701130e+02 	 8.981072e+02 	 -1.670889e+20 	 -6.544001e+19 	 3.588705e+05 	 4.475704e+04 	 4.553554e+00 	 8.599014e-01 	 1.670889e+20 	 6.544001e+19 	 -3.776479e+28 	 4.039892e+08  
162000	 3.742654e+08 	 1.527428e+08 	 -3.837224e+02 	 8.926634e+02 	 -1.662353e+20 	 -6.789076e+19 	 3.866954e+05 	 5.011368e+04 	 4.720992e+00 	 9.268773e-01 	 1.662353e+20 	 6.789076e+19 	 -3.776479e+28 	 4.038568e+08  
168000	 3.719223e+08 	 1.580821e+08 	 -3.972607e+02 	 8.870198e+02 	 -1.653491e+20 	 -7.033381e+19 	 4.155224e+05 	 5.587956e+04 	 4.887556e+00 	 9.963114e-01 	 1.653491e+20 	 7.033381e+19 	 -3.776480e+28 	 4.037197e+08  
174000	 3.694983e+08 	 1.633870e+08 	 -4.107254e+02 	 8.811770e+02 	 -1.644302e+20 	 -7.276882e+19 	 4.453461e+05 	 6.206941e+04 	 5.053213e+00 	 1.068196e+00 	 1.644302e+20 	 7.276882e+19 	 -3.776480e+28 	 4.035779e+08  
180000	 3.669936e+08 	 1.686562e+08 	 -4.241136e+02 	 8.751357e+02 	 -1.634785e+20 	 -7.519542e+19 	 4.761609e+05 	 6.869791e+04 	 5.217931e+00 	 1.142523e+00 	 1.634785e+20 	 7.519542e+19 	 -3.776480e+28 	 4.034313e+08  
186000	 3.644089e+08 	 1.738886e+08 	 -4.374229e+02 	 8.688967e+02 	 -1.624942e+20 	 -7.761337e+19 	 5.079613e+05 	 7.577969e+04 	 5.381676e+00 	 1.219283e+00 	 1.624942e+20 	 7.761337e+19 	 -3.776480e+28 	 4.032800e+08  
192000	 3.617445e+08 	 1.790830e+08 	 -4.506504e+02 	 8.624605e+02 	 -1.614770e+20 	 -8.002224e+19 	 5.407411e+05 	 8.332931e+04 	 5.544416e+00 	 1.298468e+00 	 1.614770e+20 	 8.002224e+19 	 -3.776480e+28 	 4.031241e+08  
198000	 3.590011e+08 	 1.842382e+08 	 -4.637935e+02 	 8.558280e+02 	 -1.604271e+20 	 -8.242170e+19 	 5.744943e+05 	 9.136130e+04 	 5.706117e+00 	 1.380068e+00 	 1.604271e+20 	 8.242170e+19 	 -3.776481e+28 	 4.029636e+08  
204000	 3.561790e+08 	 1.893529e+08 	 -4.768495e+02 	 8.490000e+02 	 -1.593442e+20 	 -8.481139e+19 	 6.092145e+05 	 9.989013e+04 	 5.866747e+00 	 1.464074e+00 	 1.593442e+20 	 8.481139e+19 	 -3.776480e+28 	 4.027985e+08  
210000	 3.532789e+08 	 1.944262e+08 	 -4.898157e+02 	 8.419773e+02 	 -1.582285e+20 	 -8.719101e+19 	 6.448953e+05 	 1.089302e+05 	 6.026273e+00 	 1.550475e+00 	 1.582285e+20 	 8.719101e+19 	 -3.776481e+28 	 4.026288e+08  
216000	 3.503012e+08 	 1.994567e+08 	 -5.026895e+02 	 8.347607e+02 	 -1.570798e+20 	 -8.956017e+19 	 6.815298e+05 	 1.184958e+05 	 6.184661e+00 	 1.639262e+00 	 1.570798e+20 	 8.956017e+19 	 -3.776481e+28 	 4.024545e+08  
222000	 3.472466e+08 	 2.044433e+08 	 -5.154682e+02 	 8.273510e+02 	 -1.558981e+20 	 -9.191846e+19 	 7.191112e+05 	 1.286013e+05 	 6.341879e+00 	 1.730424e+00 	 1.558981e+20 	 9.191846e+19 	 -3.776482e+28 	 4.022758e+08  
228000	 3.441156e+08 	 2.093849e+08 	 -5.281490e+02 	 8.197492e+02 	 -1.546834e+20 	 -9.426556e+19 	 7.576323e+05 	 1.392609e+05 	 6.497893e+00 	 1.823950e+00 	 1.546834e+20 	 9.426556e+19 	 -3.776482e+28 	 4.020926e+08  
234000	 3.409088e+08 	 2.142803e+08 	 -5.407293e+02 	 8.119562e+02 	 -1.534357e+20 	 -9.660107e+19 	 7.970859e+05 	 1.504887e+05 	 6.652670e+00 	 1.919828e+00 	 1.534357e+20 	 9.660107e+19 	 -3.776482e+28 	 4.019049e+08  
240000	 3.376269e+08 	 2.191284e+08 	 -5.532063e+02 	 8.039731e+02 	 -1.521549e+20 	 -9.892461e+19 	 8.374644e+05 	 1.622989e+05 	 6.806177e+00 	 2.018046e+00 	 1.521549e+20 	 9.892461e+19 	 -3.776482e+28 	 4.017129e+08  
246000	 3.342704e+08 	 2.239280e+08 	 -5.655774e+02 	 7.958007e+02 	 -1.508410e+20 	 -1.012358e+20 	 8.787600e+05 	 1.747053e+05 	 6.958380e+00 	 2.118592e+00 	 1.508410e+20 	 1.012358e+20 	 -3.776482e+28 	 4.015165e+08  
252000	 3.308399e+08 	 2.286780e+08 	 -5.778398e+02 	 7.874401e+02 	 -1.494939e+20 	 -1.035342e+20 	 9.209649e+05 	 1.877220e+05 	 7.109247e+00 	 2.221453e+00 	 1.494939e+20 	 1.035342e+20 	 -3.776482e+28 	 4.013157e+08  
258000	 3.273363e+08 	 2.333772e+08 	 -5.899909e+02 	 7.788923e+02 	 -1.481137e+20 	 -1.058195e+20 	 9.640710e+05 	 2.013627e+05 	 7.258744e+00 	 2.326618e+00 	 1.481137e+20 	 1.058195e+20 	 -3.776483e+28 	 4.011107e+08  
264000	 3.237601e+08 	 2.380247e+08 	 -6.020280e+02 	 7.701585e+02 	 -1.467002e+20 	 -1.080912e+20 	 1.008070e+06 	 2.156414e+05 	 7.406838e+00 	 2.434071e+00 	 1.467002e+20 	 1.080912e+20 	 -3.776483e+28 	 4.009015e+08  
270000	 3.201120e+08 	 2.426191e+08 	 -6.139482e+02 	 7.612397e+02 	 -1.452536e+20 	 -1.103489e+20 	 1.052953e+06 	 2.305716e+05 	 7.553495e+00 	 2.543800e+00 	 1.452536e+20 	 1.103489e+20 	 -3.776484e+28 	 4.006880e+08  
276000	 3.163927e+08 	 2.471595e+08 	 -6.257490e+02 	 7.521372e+02 	 -1.437737e+20 	 -1.125922e+20 	 1.098712e+06 	 2.461670e+05 	 7.698682e+00 	 2.655789e+00 	 1.437737e+20 	 1.125922e+20 	 -3.776483e+28 	 4.004704e+08  
282000	 3.126030e+08 	 2.516448e+08 	 -6.374276e+02 	 7.428521e+02 	 -1.422605e+20 	 -1.148207e+20 	 1.145337e+06 	 2.624410e+05 	 7.842365e+00 	 2.770025e+00 	 1.422605e+20 	 1.148207e+20 	 -3.776483e+28 	 4.002486e+08  
288000	 3.087436e+08 	 2.560738e+08 	 -6.489813e+02 	 7.333857e+02 	 -1.407140e+20 	 -1.170339e+20 	 1.192820e+06 	 2.794073e+05 	 7.984511e+00 	 2.886492e+00 	 1.407140e+20 	 1.170339e+20 	 -3.776483e+28 	 4.000228e+08  
294000	 3.048152e+08 	 2.604454e+08 	 -6.604072e+02 	 7.237392e+02 	 -1.391343e+20 	 -1.192314e+20 	 1.241151e+06 	 2.970789e+05 	 8.125087e+00 	 3.005175e+00 	 1.391343e+20 	 1.192314e+20 	 -3.776484e+28 	 3.997929e+08  
300000	 3.008187e+08 	 2.647587e+08 	 -6.717028e+02 	 7.139139e+02 	 -1.375213e+20 	 -1.214128e+20 	 1.290321e+06 	 3.154693e+05 	 8.264058e+00 	 3.126058e+00 	 1.375213e+20 	 1.214128e+20 	 -3.776484e+28 	 3.995590e+08  
306000	 2.967548e+08 	 2.690124e+08 	 -6.828654e+02 	 7.039111e+02 	 -1.358749e+20 	 -1.235775e+20 	 1.340320e+06 	 3.345916e+05 	 8.401392e+00 	 3.249124e+00 	 1.358749e+20 	 1.235775e+20 	 -3.776485e+28 	 3.993212e+08  
312000	 2.926243e+08 	 2.732056e+08 	 -6.938921e+02 	 6.937322e+02 	 -1.341953e+20 	 -1.257251e+20 	 1.391138e+06 	 3.544588e+05 	 8.537056e+00 	 3.374355e+00 	 1.341953e+20 	 1.257251e+20 	 -3.776485e+28 	 3.990796e+08  
318000	 2.884281e+08 	 2.773372e+08 	 -7.047803e+02 	 6.833788e+02 	 -1.324823e+20 	 -1.278552e+20 	 1.442765e+06 	 3.750839e+05 	 8.671016e+00 	 3.501736e+00 	 1.324823e+20 	 1.278552e+20 	 -3.776484e+28 	 3.988340e+08  
324000	 2.841669e+08 	 2.814061e+08 	 -7.155273e+02 	 6.728521e+02 	 -1.307361e+20 	 -1.299674e+20 	 1.495190e+06 	 3.964796e+05 	 8.803238e+00 	 3.631247e+00 	 1.307361e+20 	 1.299674e+20 	 -3.776485e+28 	 3.985846e+08  
330000	 2.798418e+08 	 2.854114e+08 	 -7.261304e+02 	 6.621537e+02 	 -1.289566e+20 	 -1.320609e+20 	 1.548404e+06 	 4.186588e+05 	 8.933689e+00 	 3.762872e+00 	 1.289566e+20 	 1.320609e+20 	 -3.776485e+28 	 3.983316e+08  
336000	 2.754534e+08 	 2.893520e+08 	 -7.365867e+02 	 6.512850e+02 	 -1.271438e+20 	 -1.341355e+20 	 1.602394e+06 	 4.416341e+05 	 9.062335e+00 	 3.896590e+00 	 1.271438e+20 	 1.341355e+20 	 -3.776486e+28 	 3.980748e+08  
342000	 2.710027e+08 	 2.932268e+08 	 -7.468937e+02 	 6.402478e+02 	 -1.252978e+20 	 -1.361906e+20 	 1.657152e+06 	 4.654179e+05 	 9.189143e+00 	 4.032382e+00 	 1.252978e+20 	 1.361906e+20 	 -3.776486e+28 	 3.978144e+08  
348000	 2.664907e+08 	 2.970349e+08 	 -7.570485e+02 	 6.290436e+02 	 -1.234185e+20 	 -1.382257e+20 	 1.712664e+06 	 4.900227e+05 	 9.314080e+00 	 4.170229e+00 	 1.234185e+20 	 1.382257e+20 	 -3.776487e+28 	 3.975503e+08  
354000	 2.619181e+08 	 3.007753e+08 	 -7.670486e+02 	 6.176740e+02 	 -1.215061e+20 	 -1.402403e+20 	 1.768921e+06 	 5.154606e+05 	 9.437113e+00 	 4.310111e+00 	 1.215061e+20 	 1.402403e+20 	 -3.776487e+28 	 3.972828e+08  
360000	 2.572861e+08 	 3.044470e+08 	 -7.768912e+02 	 6.061408e+02 	 -1.195606e+20 	 -1.422339e+20 	 1.825909e+06 	 5.417439e+05 	 9.558208e+00 	 4.452005e+00 	 1.195606e+20 	 1.422339e+20 	 -3.776488e+28 	 3.970117e+08  
366000	 2.525954e+08 	 3.080490e+08 	 -7.865735e+02 	 5.944457e+02 	 -1.175820e+20 	 -1.442059e+20 	 1.883619e+06 	 5.688847e+05 	 9.677331e+00 	 4.595892e+00 	 1.175820e+20 	 1.442059e+20 	 -3.776488e+28 	 3.967372e+08  
372000	 2.478472e+08 	 3.115804e+08 	 -7.960930e+02 	 5.825905e+02 	 -1.155703e+20 	 -1.461557e+20 	 1.942037e+06 	 5.968947e+05 	 9.794450e+00 	 4.741749e+00 	 1.155703e+20 	 1.461557e+20 	 -3.776488e+28 	 3.964594e+08  
378000	 2.430423e+08 	 3.150401e+08 	 -8.054468e+02 	 5.705769e+02 	 -1.135257e+20 	 -1.480830e+20 	 2.001152e+06 	 6.257857e+05 	 9.909531e+00 	 4.889554e+00 	 1.135257e+20 	 1.480830e+20 	 -3.776488e+28 	 3.961783e+08  
384000	 2.381818e+08 	 3.184273e+08 	 -8.146323e+02 	 5.584069e+02 	 -1.114482e+20 	 -1.499871e+20 	 2.060952e+06 	 6.555693e+05 	 1.002254e+01 	 5.039282e+00 	 1.114482e+20 	 1.499871e+20 	 -3.776488e+28 	 3.958939e+08  
390000	 2.332667e+08 	 3.217410e+08 	 -8.236469e+02 	 5.460825e+02 	 -1.093378e+20 	 -1.518673e+20 	 2.121423e+06 	 6.862571e+05 	 1.013345e+01 	 5.190912e+00 	 1.093378e+20 	 1.518673e+20 	 -3.776488e+28 	 3.956063e+08  
396000	 2.282980e+08 	 3.249803e+08 	 -8.324877e+02 	 5.336054e+02 	 -1.071947e+20 	 -1.537234e+20 	 2.182553e+06 	 7.178603e+05 	 1.024222e+01 	 5.344419e+00 	 1.071947e+20 	 1.537234e+20 	 -3.776488e+28 	 3.953155e+08  
402000	 2.232769e+08 	 3.281443e+08 	 -8.411523e+02 	 5.209778e+02 	 -1.050191e+20 	 -1.555545e+20 	 2.244330e+06 	 7.503901e+05 	 1.034882e+01 	 5.499778e+00 	 1.050191e+20 	 1.555545e+20 	 -3.776489e+28 	 3.950217e+08  
408000	 2.182042e+08 	 3.312320e+08 	 -8.496378e+02 	 5.082017e+02 	 -1.028109e+20 	 -1.573602e+20 	 2.306739e+06 	 7.838576e+05 	 1.045322e+01 	 5.656963e+00 	 1.028109e+20 	 1.573602e+20 	 -3.776489e+28 	 3.947248e+08  
414000	 2.130812e+08 	 3.342427e+08 	 -8.579417e+02 	 4.952792e+02 	 -1.005702e+20 	 -1.591397e+20 	 2.369769e+06 	 8.182736e+05 	 1.055538e+01 	 5.815950e+00 	 1.005702e+20 	 1.591397e+20 	 -3.776490e+28 	 3.944251e+08  
420000	 2.079089e+08 	 3.371754e+08 	 -8.660613e+02 	 4.822126e+02 	 -9.829726e+19 	 -1.608927e+20 	 2.433404e+06 	 8.536489e+05 	 1.065528e+01 	 5.976711e+00 	 9.829726e+19 	 1.608927e+20 	 -3.776490e+28 	 3.941224e+08  
426000	 2.026885e+08 	 3.400292e+08 	 -8.739941e+02 	 4.690038e+02 	 -9.599214e+19 	 -1.626184e+20 	 2.497632e+06 	 8.899941e+05 	 1.075288e+01 	 6.139220e+00 	 9.599214e+19 	 1.626184e+20 	 -3.776489e+28 	 3.938170e+08  
432000	 1.974210e+08 	 3.428034e+08 	 -8.817372e+02 	 4.556553e+02 	 -9.365505e+19 	 -1.643162e+20 	 2.562439e+06 	 9.273196e+05 	 1.084814e+01 	 6.303449e+00 	 9.365505e+19 	 1.643162e+20 	 -3.776490e+28 	 3.935087e+08  
438000	 1.921076e+08 	 3.454971e+08 	 -8.892882e+02 	 4.421693e+02 	 -9.128606e+19 	 -1.659856e+20 	 2.627810e+06 	 9.656355e+05 	 1.094104e+01 	 6.469368e+00 	 9.128606e+19 	 1.659856e+20 	 -3.776491e+28 	 3.931978e+08  
444000	 1.867495e+08 	 3.481094e+08 	 -8.966445e+02 	 4.285482e+02 	 -8.888539e+19 	 -1.676259e+20 	 2.693731e+06 	 1.004952e+06 	 1.103155e+01 	 6.636951e+00 	 8.888539e+19 	 1.676259e+20 	 -3.776492e+28 	 3.928843e+08  
450000	 1.813479e+08 	 3.506397e+08 	 -9.038035e+02 	 4.147944e+02 	 -8.645317e+19 	 -1.692364e+20 	 2.760189e+06 	 1.045279e+06 	 1.111963e+01 	 6.806167e+00 	 8.645317e+19 	 1.692364e+20 	 -3.776492e+28 	 3.925682e+08  
